#MLRT	#	0.8712	#MLRT
:	,	0.7421	:
HU	!	0.7816	HU
DAT	O	0.5926	DAT
HU	!	0.7816	HU
DAT	O	0.5926	DAT
I	O	0.9937	I
G	!	0.3368	G
G	!	0.3368	G
Y	R	0.5494	Y
			
invite	V	0.8799	invite
me	O	0.9918	me
.	,	0.9927	.
7cec2ffe	!	0.3765	7cec2ffe
"	,	0.9803	"
@sophielupy	@	0.9990	@sophielupy
:	,	0.7421	:
@FerryDwiiee	@	0.9990	@FerryDwiiee
aku	!	0.4085	aku
gnti	!	0.4844	gnti
pin	N	0.9234	pin
saiki	G	0.3160	saiki
fer	P	0.8271	fer
.	,	0.9927	.
"	,	0.9803	"
			
RT	~	0.7475	RT
@locketmin0923	@	0.9989	@locketmin0923
:	,	0.7421	:
Gah	!	0.9945	Gah
Dazzling	A	0.6725	Dazzling
Girl	N	0.9121	Girl
Jonghyun	^	0.9113	Jonghyun
is	V	0.9892	is
more	A	0.4885	more
dazzling	A	0.5189	dazzling
than	P	0.9031	than
any	D	0.6983	any
girl	N	0.8631	girl
			
RT	~	0.7475	RT
@GoldenThang	@	0.9990	@GoldenThang
:	,	0.7421	:
when	R	0.9425	when
u	O	0.9843	u
tweetin	V	0.9695	tweetin
in	P	0.8576	in
class	N	0.9759	class
and	&	0.9981	and
someone	N	0.9495	someone
in	P	0.8576	in
your	D	0.5467	your
class	N	0.9759	class
favs	N	0.4579	favs
ur	L	0.5261	ur
tweet	V	0.5818	tweet
http://t.co/4KwAM0DLTE	U	0.9940	http://t.co/4KwAM0DLTE
			
RT	~	0.7475	RT
@KABAR_CHELSEA	@	0.9987	@KABAR_CHELSEA
:	,	0.7421	:
Gary	^	0.9625	Gary
Cahill	^	0.8635	Cahill
dan	^	0.8680	dan
Thibaut	^	0.5765	Thibaut
Courtois	^	0.3135	Courtois
masuk	!	0.4717	masuk
dalam	!	0.7044	dalam
UEFA	^	0.7910	UEFA
Champions	N	0.7629	Champions
League	^	0.4799	League
Team	N	0.9580	Team
of	P	0.8953	of
the	D	0.9792	the
Season	N	0.9874	Season
2013/2014	$	0.8785	2013/2014
#CFC	#	0.9311	#CFC
			
Aache	V	0.9328	Aache
din	N	0.3261	din
aa	!	0.7520	aa
rahe	^	0.4509	rahe
hain	!	0.4549	hain
..	,	0.9687	..
I	O	0.9937	I
saw	V	0.9172	saw
a	D	0.8948	a
girl	N	0.8631	girl
on	P	0.8343	on
scooty	N	0.4348	scooty
..	,	0.9687	..
She	O	0.9882	She
gave	V	0.9118	gave
left	V	0.7279	left
indicator	N	0.9767	indicator
and	&	0.9981	and
she	O	0.9863	she
actually	R	0.9907	actually
turned	V	0.9690	turned
left	V	0.7279	left
!...	,	0.9624	!...
http://t.co/oEdLnuLQN7	U	0.9940	http://t.co/oEdLnuLQN7
			
RT	~	0.7475	RT
@plzzdanieljfb	@	0.9990	@plzzdanieljfb
:	,	0.7421	:
Rt	~	0.5597	Rt
for	P	0.9910	for
an	D	0.7642	an
indirect	A	0.9535	indirect
I	O	0.9937	I
will	V	0.9478	will
do	V	0.9687	do
all	D	0.7257	all
tommorow	N	0.8059	tommorow
cause	P	0.4706	cause
im	L	0.9789	im
going	V	0.9829	going
to	P	0.9511	to
bed	N	0.9188	bed
:)	E	0.9959	:)
http://t.co/lVkF1UIRYY	U	0.9940	http://t.co/lVkF1UIRYY
			
Leiam	!	0.2562	Leiam
!	,	0.9924	!
RT	~	0.7475	RT
Eccentric	A	0.9584	Eccentric
OSU	^	0.9457	OSU
scientist	N	0.9772	scientist
vindicated	V	0.8132	vindicated
on	P	0.8343	on
melting	V	0.8318	melting
,	,	0.9918	,
global	A	0.8874	global
warming	N	0.8864	warming
predictions	N	0.9844	predictions
-	,	0.8444	-
Toledo	^	0.6787	Toledo
Blade	^	0.6448	Blade
http://t.co/LG6vw5TXOL	U	0.9940	http://t.co/LG6vw5TXOL
via	P	0.7478	via
@po_st	@	0.9990	@po_st
			
RT	~	0.7475	RT
@battle_celeb	@	0.9990	@battle_celeb
:	,	0.7421	:
RT	~	0.7475	RT
for	P	0.9910	for
Andrew	^	0.9885	Andrew
Garfield	^	0.9849	Garfield
Fav	!	0.3524	Fav
for	P	0.9910	for
Zac	^	0.9879	Zac
Efron	^	0.9692	Efron
http://t.co/Fz6pxZCRvc	U	0.9940	http://t.co/Fz6pxZCRvc
			
#GetUsedToGreat	#	0.9257	#GetUsedToGreat
@Takealot	@	0.9987	@Takealot
Holding	V	0.9496	Holding
Thumbs	V	0.5891	Thumbs
!	,	0.9924	!
6	$	0.9773	6
Asus	^	0.8654	Asus
X	E	0.6683	X
Series	N	0.9089	Series
X552CL-SX018H	!	0.2459	X552CL-SX018H
Notebook	N	0.9180	Notebook
http://t.co/a8dIhat9gv	U	0.9940	http://t.co/a8dIhat9gv
			
RT	~	0.7475	RT
@hemmoftniam	@	0.9989	@hemmoftniam
:	,	0.7421	:
5SOS	^	0.3047	5SOS
'	,	0.9122	'
OPENING	V	0.7710	OPENING
SONG	N	0.9382	SONG
IS	V	0.9860	IS
EIGHTEEN	$	0.5351	EIGHTEEN
OH	!	0.9939	OH
YM	!	0.5790	YM
GDO	!	0.4364	GDO
			
RT	~	0.7475	RT
@BootyGangCult	@	0.9990	@BootyGangCult
:	,	0.7421	:
Mom	N	0.7709	Mom
:	,	0.7421	:
let's	L	0.9792	let's
watch	V	0.8421	watch
blues	N	0.7170	blues
clues	N	0.9745	clues
Son	^	0.4818	Son
:	,	0.7421	:
u	O	0.9843	u
gon	V	0.9396	gon
have	V	0.9703	have
to	P	0.9511	to
kill	V	0.8244	kill
me	O	0.9918	me
first	A	0.7263	first
http://t.co/pWarSyqeZv	U	0.9900	http://t.co/pWarSyqeZv
			
Kejriwal	^	0.7177	Kejriwal
coming	V	0.9764	coming
out	T	0.6015	out
of	P	0.8953	of
Tihar	^	0.9742	Tihar
Jail	N	0.7684	Jail
2mrw	!	0.3858	2mrw
.	,	0.9927	.
Uff	!	0.9918	Uff
!!	,	0.9305	!!
Again	R	0.9621	Again
mayhem	N	0.9408	mayhem
,	,	0.9918	,
chaos	N	0.9539	chaos
,	,	0.9918	,
drama	N	0.9060	drama
b4	P	0.3997	b4
cameras	N	0.8684	cameras
..	,	0.9687	..
He	O	0.9792	He
is	V	0.9892	is
better	A	0.6680	better
inside	P	0.4708	inside
..!	,	0.9621	..!
#JokerKejriwal	#	0.9468	#JokerKejriwal
@kbindia	@	0.9986	@kbindia
			
RT	~	0.7475	RT
@WhatTheFFacts	@	0.9990	@WhatTheFFacts
:	,	0.7421	:
Hugh	^	0.9011	Hugh
Jackman	^	0.9778	Jackman
was	V	0.9773	was
the	D	0.9792	the
3rd	$	0.3663	3rd
choice	N	0.9453	choice
to	P	0.9511	to
play	V	0.8616	play
Wolverine	^	0.8374	Wolverine
behind	P	0.9369	behind
Russell	^	0.9749	Russell
Crowe	^	0.9702	Crowe
and	&	0.9981	and
Dougray	!	0.3661	Dougray
Scott	^	0.9921	Scott
.	,	0.9927	.
			
RT	~	0.7475	RT
@joeyslastname	@	0.9990	@joeyslastname
:	,	0.7421	:
When	R	0.9713	When
u	O	0.9843	u
see	V	0.8335	see
bae	N	0.9032	bae
talkin	V	0.7415	talkin
to	P	0.9511	to
other	A	0.9271	other
guys	N	0.9762	guys
on	P	0.8343	on
twitter	^	0.9766	twitter
http://t.co/JrUd5jVj4d	U	0.9940	http://t.co/JrUd5jVj4d
			
Nak	!	0.4323	Nak
nangis	!	0.3059	nangis
tengok	^	0.2884	tengok
kawan	^	0.4809	kawan
post	N	0.7789	post
video	N	0.9802	video
concert	N	0.9931	concert
Arctic	^	0.5905	Arctic
Monkeys	N	0.8356	Monkeys
@	P	0.5208	@
Finsbury	^	0.7906	Finsbury
Park	^	0.8408	Park
.	,	0.9927	.
			
Iggy	^	0.9887	Iggy
has	V	0.9464	has
some	D	0.7045	some
biiiig	A	0.7565	biiiig
thigh	N	0.8892	thigh
or	&	0.9822	or
is	V	0.9892	is
that	O	0.7135	that
just	R	0.9975	just
photoshop	N	0.5012	photoshop
			
RT	~	0.7475	RT
@__cashaaaaa	@	0.9986	@__cashaaaaa
:	,	0.7421	:
seriously	R	0.9806	seriously
hate	V	0.9340	hate
those	O	0.4868	those
"	,	0.9803	"
retweet	V	0.5104	retweet
this	O	0.5028	this
or	&	0.9822	or
________	^	0.5938	________
will	V	0.9478	will
happen	V	0.9873	happen
"	,	0.9803	"
pictures	N	0.9305	pictures
,	,	0.9918	,
like	P	0.7012	like
foh	!	0.5115	foh
			
Evry1s	^	0.2528	Evry1s
saying	V	0.9801	saying
that	O	0.7135	that
BAM	!	0.9216	BAM
r	V	0.4589	r
performing	V	0.9913	performing
2moz	!	0.4194	2moz
but	&	0.9901	but
they	O	0.9737	they
aint	V	0.7028	aint
no	!	0.9253	no
bgt	!	0.4439	bgt
so	R	0.5317	so
:s	E	0.9767	:s
??	,	0.9829	??
			
RT	~	0.7475	RT
@ABSCBN2014	@	0.9987	@ABSCBN2014
:	,	0.7421	:
In	P	0.8841	In
all	D	0.7257	all
fairness	N	0.9835	fairness
ang	!	0.6480	ang
Ganda	!	0.4295	Ganda
ni	!	0.5342	ni
Devon	^	0.9741	Devon
Seron	^	0.3358	Seron
:-)	E	0.9904	:-)
pretty	R	0.7847	pretty
!	,	0.9924	!
#TheSingingBeePH	#	0.9745	#TheSingingBeePH
			
@lking08	@	0.9988	@lking08
have	V	0.9703	have
fun	N	0.6011	fun
lau	!	0.4013	lau
!	,	0.9924	!
x	E	0.5815	x
			
@Q2ruthless	@	0.9989	@Q2ruthless
nothin	N	0.9580	nothin
just	R	0.9975	just
chillin	V	0.7806	chillin
,	,	0.9918	,
IMY	!	0.9121	IMY
you	O	0.9627	you
don't	V	0.9973	don't
fuck	!	0.5770	fuck
with	P	0.9671	with
a	D	0.8948	a
thug	N	0.9334	thug
nomore	!	0.6031	nomore
Lol	!	0.9992	Lol
!	,	0.9924	!
			
RT	~	0.7475	RT
@bandsvibes	@	0.9990	@bandsvibes
:	,	0.7421	:
"	,	0.9803	"
omg	!	0.9978	omg
can	V	0.9763	can
atl	^	0.8887	atl
and	&	0.9981	and
5sos	^	0.2734	5sos
tour	N	0.9646	tour
together	R	0.9003	together
!!	,	0.9305	!!
"	,	0.9803	"
http://t.co/JGk4Vl6Q27	U	0.9940	http://t.co/JGk4Vl6Q27
			
[	,	0.9656	[
FANTAKEN	^	0.3120	FANTAKEN
]	,	0.9650	]
140517	$	0.4621	140517
Mino	N	0.4652	Mino
@	P	0.5208	@
2NE1	^	0.5881	2NE1
AON	^	0.6335	AON
Concert	N	0.9847	Concert
in	P	0.8576	in
Manila	^	0.8998	Manila
#12	#	0.5754	#12
(	,	0.9082	(
cr	N	0.4422	cr
:	,	0.7421	:
@ya_minho0330	@	0.9989	@ya_minho0330
)	,	0.9412	)
-Zi	G	0.5493	-Zi
http://t.co/FJrccfH2nl	U	0.9940	http://t.co/FJrccfH2nl
			
Acura	^	0.9625	Acura
TSX	^	0.8270	TSX
JDM	^	0.5277	JDM
OEM	!	0.4136	OEM
Style	N	0.9725	Style
Clear	A	0.9150	Clear
Fog	N	0.8829	Fog
Lights	N	0.8228	Lights
,	,	0.9918	,
Switch	N	0.8320	Switch
http://t.co/NnrndrIgVW	U	0.9900	http://t.co/NnrndrIgVW
			
McCarthy	^	0.7100	McCarthy
,	,	0.9918	,
GBS	^	0.6832	GBS
lock	N	0.4664	lock
down	T	0.3734	down
CSL	!	0.3738	CSL
South	^	0.6609	South
title	N	0.9746	title
over	P	0.6023	over
Maine	^	0.9431	Maine
South	^	0.6609	South
:	,	0.7421	:
http://t.co/odKLYgG7Fu	U	0.9940	http://t.co/odKLYgG7Fu
@gbs_baseball	@	0.9990	@gbs_baseball
@titanboosters	@	0.9990	@titanboosters
			
RT	~	0.7475	RT
@ammirul_mirza	@	0.9990	@ammirul_mirza
:	,	0.7421	:
Muka	!	0.4101	Muka
bangga	!	0.3826	bangga
pegang	!	0.2420	pegang
thomas	^	0.9943	thomas
cup	N	0.8920	cup
.	,	0.9927	.
Maklumlah	^	0.3370	Maklumlah
'	,	0.9122	'
for	P	0.9910	for
the	D	0.9792	the
first	A	0.7263	first
time	N	0.9685	time
in	P	0.8576	in
forever	R	0.9802	forever
'	,	0.9122	'
hahahahaha	!	0.9977	hahahahaha
			
RT	~	0.7475	RT
@KardashianReact	@	0.9990	@KardashianReact
:	,	0.7421	:
when	R	0.9425	when
u	O	0.9843	u
see	V	0.8335	see
bae	N	0.9032	bae
being	V	0.9770	being
a	D	0.8948	a
little	A	0.9286	little
too	R	0.9370	too
friendly	A	0.9739	friendly
with	P	0.9671	with
someone	N	0.9495	someone
else	R	0.7939	else
http://t.co/f04aHSfaTX	U	0.9940	http://t.co/f04aHSfaTX
			
Last	A	0.9568	Last
night	N	0.6493	night
the	D	0.9792	the
PDX	^	0.9425	PDX
Gang	N	0.9329	Gang
Enforcement	N	0.9248	Enforcement
Unit	N	0.9571	Unit
was	V	0.9773	was
prowling	V	0.9705	prowling
near	P	0.8636	near
Trader	N	0.6906	Trader
Joe's	^	0.2102	Joe's
.	,	0.9927	.
Looking	V	0.9798	Looking
for	P	0.9910	for
the	D	0.9792	the
Nob	N	0.4813	Nob
Hill	^	0.8409	Hill
Crips	N	0.5948	Crips
?	,	0.9909	?
Glisan	!	0.4266	Glisan
St.	^	0.6992	St.
Locos	N	0.5654	Locos
?	,	0.9909	?
#Portland	#	0.9525	#Portland
#cops	#	0.8822	#cops
			
@cxsualaffair	@	0.9990	@cxsualaffair
I've	L	0.9742	I've
had	V	0.9560	had
this	O	0.5028	this
acc	N	0.7192	acc
since	P	0.8454	since
like	P	0.7012	like
2009	$	0.8849	2009
so	R	0.5317	so
i	O	0.9651	i
dont	V	0.9006	dont
think	V	0.9624	think
its	L	0.9816	its
that	O	0.7135	that
bad	A	0.9370	bad
but	&	0.9901	but
STILL	R	0.9879	STILL
WTH	!	0.9858	WTH
100k	$	0.9379	100k
omg	!	0.9978	omg
hahahahha	!	0.9984	hahahahha
			
RT	~	0.7475	RT
@iPowPow_PumPum	@	0.9990	@iPowPow_PumPum
:	,	0.7421	:
Everyone	N	0.9794	Everyone
wants	V	0.9897	wants
to	P	0.9511	to
be	V	0.9569	be
Jordan	^	0.9979	Jordan
shit	N	0.6894	shit
what	O	0.9490	what
wrong	A	0.7814	wrong
with	P	0.9671	with
being	V	0.9770	being
Pippen	^	0.9363	Pippen
that	O	0.7135	that
nigga	N	0.5857	nigga
won	V	0.5339	won
too	R	0.9370	too
			
I	O	0.9937	I
kno	!	0.4740	kno
u	O	0.9843	u
ain't	V	0.8098	ain't
that	O	0.7135	that
nigga	N	0.5857	nigga
u	O	0.9843	u
say	V	0.8550	say
u	O	0.9843	u
is	V	0.9892	is
			
RT	~	0.7475	RT
@wassupkinar	@	0.9989	@wassupkinar
:	,	0.7421	:
camikum	!	0.3575	camikum
.	,	0.9927	.
openfollow	G	0.4176	openfollow
for	P	0.9910	for
rp	!	0.5479	rp
ye	!	0.4849	ye
baru	!	0.5819	baru
balik	!	0.3785	balik
dr	^	0.4659	dr
long	A	0.8325	long
hiatus	N	0.8662	hiatus
>	E	0.3865	>
<	~	0.8935	<
retweet	V	0.5104	retweet
jsy	!	0.4704	jsy
http://t.co/j91rsnVOi0	U	0.9940	http://t.co/j91rsnVOi0
			
I	O	0.9937	I
was	V	0.9773	was
lookin	V	0.7789	lookin
for	P	0.9910	for
something	N	0.9754	something
to	P	0.9511	to
favorite	A	0.8214	favorite
.	,	0.9927	.
.	,	0.9927	.
but	&	0.9901	but
there	R	0.4143	there
was	V	0.9773	was
nothing	N	0.9678	nothing
lol	!	0.9995	lol
..	,	0.9687	..
I	O	0.9937	I
was	V	0.9773	was
tryna	V	0.8235	tryna
leave	V	0.8730	leave
a	D	0.8948	a
hint	N	0.8822	hint
			
RT	~	0.7475	RT
@SMObss	@	0.9986	@SMObss
:	,	0.7421	:
SPINNS	V	0.8383	SPINNS
x	E	0.5815	x
#SailorMoon	#	0.8318	#SailorMoon
collab	N	0.6596	collab
packpack	!	0.2215	packpack
1	$	0.9900	1
Stripe	N	0.9517	Stripe
and	&	0.9981	and
silhouette	N	0.9166	silhouette
pattern	N	0.9789	pattern
!	,	0.9924	!
http://t.co/RcLpg4uIT6	U	0.9940	http://t.co/RcLpg4uIT6
			
@PUFC_Melissa	@	0.9990	@PUFC_Melissa
landaan	^	0.9284	landaan
.	,	0.9927	.
Lol	!	0.9992	Lol
Defo	!	0.3839	Defo
worth	A	0.3472	worth
it	O	0.9694	it
then	R	0.9661	then
yeah	!	0.9988	yeah
lol	!	0.9995	lol
			
I	O	0.9937	I
love	N	0.6603	love
watching	V	0.9830	watching
MLB	^	0.4387	MLB
tbh	!	0.4628	tbh
			
RT	~	0.7475	RT
@AnisAshaari	@	0.9990	@AnisAshaari
:	,	0.7421	:
Only	R	0.8217	Only
those	O	0.4868	those
who	O	0.9764	who
have	V	0.9703	have
bantal	!	0.4175	bantal
busuk	!	0.4084	busuk
know	V	0.9285	know
how	R	0.9435	how
good	A	0.9644	good
the	D	0.9792	the
smell	V	0.5287	smell
is	V	0.9892	is
.	,	0.9927	.
			
@DavidJMartinez3	@	0.9989	@DavidJMartinez3
blueberry	N	0.5612	blueberry
**	,	0.3198	**
donut	N	0.8718	donut
,	,	0.9918	,
don't	V	0.9973	don't
ever	R	0.9297	ever
get	V	0.9655	get
the	D	0.9792	the
name	N	0.9785	name
wrong	A	0.7814	wrong
on	P	0.8343	on
our	D	0.8438	our
blueberry	N	0.5612	blueberry
friend	N	0.8072	friend
lol	!	0.9995	lol
			
NOW	R	0.9736	NOW
SPINNING	V	0.9510	SPINNING
x	E	0.5815	x
-	,	0.8444	-
rated	V	0.9681	rated
mix032	^	0.2455	mix032
On	P	0.7816	On
union	N	0.6285	union
squad	N	0.9643	squad
radio	N	0.9062	radio
tunein	^	0.7348	tunein
or	&	0.9822	or
winamp	^	0.5150	winamp
app's	N	0.2785	app's
			
im	L	0.9789	im
gonna	V	0.9473	gonna
vote	V	0.6316	vote
for	P	0.9910	for
shakira	^	0.8677	shakira
no	!	0.9253	no
matter	N	0.8011	matter
what	O	0.9490	what
#WMAShakira	#	0.9571	#WMAShakira
			
RT	~	0.7475	RT
@newyscruggs	@	0.9989	@newyscruggs
:	,	0.7421	:
Don't	V	0.9817	Don't
take	V	0.9216	take
it	O	0.9694	it
personal	A	0.8406	personal
kid	N	0.7379	kid
.	,	0.9927	.
Caroline	^	0.9763	Caroline
Wozniacki	^	0.5612	Wozniacki
breaks	V	0.5283	breaks
silence	N	0.9697	silence
on	P	0.8343	on
Rory	^	0.9869	Rory
McIlroy	^	0.6442	McIlroy
breakup	N	0.9368	breakup
http://t.co/C6AmrBx7ul	U	0.9940	http://t.co/C6AmrBx7ul
			
I'm	L	0.9907	I'm
so	R	0.5317	so
retarted	A	0.8845	retarted
the	D	0.9792	the
dum	A	0.4419	dum
way	N	0.5969	way
!!	,	0.9305	!!
			
@LeGeaiGosse	@	0.9990	@LeGeaiGosse
hey	!	0.9986	hey
man	!	0.8651	man
.	,	0.9927	.
Do	V	0.9772	Do
u	O	0.9843	u
have	V	0.9703	have
adress	N	0.8435	adress
for	P	0.9910	for
the	D	0.9792	the
chaffey	^	0.6607	chaffey
party	N	0.9406	party
today	N	0.9895	today
?	,	0.9909	?
			
what	O	0.9490	what
happen	V	0.9873	happen
with	P	0.9671	with
maomao	!	0.5916	maomao
?	,	0.9909	?
RT	~	0.7475	RT
@JungjessicAra	@	0.9990	@JungjessicAra
:	,	0.7421	:
"	,	0.9803	"
@dorkyuri	@	0.9989	@dorkyuri
:	,	0.7421	:
maomao	!	0.5916	maomao
...	~	0.6291	...
http://t.co/L7faBxDSxI"haha	U	0.9940	http://t.co/L7faBxDSxI"haha
..	,	0.9687	..
			
@Its_Zjori_Bosha	@	0.9990	@Its_Zjori_Bosha
we	O	0.9885	we
leavin	V	0.9464	leavin
nome	!	0.7075	nome
goin	V	0.9717	goin
there	R	0.4143	there
			
Mxm	!	0.5784	Mxm
giving	V	0.9598	giving
out	T	0.6015	out
money	N	0.9305	money
u	O	0.9843	u
don't	V	0.9973	don't
have	V	0.9703	have
!	,	0.9924	!
Hai	!	0.9849	Hai
!	,	0.9924	!
Worst	A	0.9216	Worst
or	&	0.9822	or
best	A	0.9236	best
feeling	V	0.9609	feeling
??	,	0.9829	??
			
@snuggIehemmo	@	0.9990	@snuggIehemmo
ik	!	0.5663	ik
id	L	0.5013	id
rather	R	0.9782	rather
someone	N	0.9495	someone
unfollow	V	0.4749	unfollow
me	O	0.9918	me
than	P	0.9031	than
mute	N	0.5926	mute
me	O	0.9918	me
like	P	0.7012	like
what	O	0.9490	what
			
RT	~	0.7475	RT
@YAKAPOOH	@	0.9987	@YAKAPOOH
:	,	0.7421	:
Ion	L	0.4586	Ion
want	V	0.9638	want
nobody	N	0.8478	nobody
but	&	0.9901	but
YOUU	O	0.9070	YOUU
kissn	V	0.7417	kissn
on	P	0.8343	on
my	D	0.8420	my
tattoos	N	0.8584	tattoos
			
@GMqueen	@	0.9990	@GMqueen
haha	!	0.9993	haha
te	^	0.2284	te
digo	!	0.6066	digo
yeah	!	0.9988	yeah
we're	L	0.9145	we're
going	V	0.9829	going
to	P	0.9511	to
the	D	0.9792	the
game	N	0.9747	game
Friday	^	0.8713	Friday
and	&	0.9981	and
I'll	L	0.9764	I'll
be	V	0.9569	be
over	P	0.6023	over
sat	^	0.5245	sat
and	&	0.9981	and
early	A	0.7992	early
Sunday	^	0.8111	Sunday
			
My	D	0.9244	My
stories	N	0.9796	stories
on	P	0.8343	on
snapchat	!	0.4061	snapchat
be	V	0.9569	be
making	V	0.9755	making
me	O	0.9918	me
look	V	0.8183	look
like	P	0.7012	like
i	O	0.9651	i
run	V	0.9514	run
around	P	0.4644	around
so	R	0.5317	so
much	A	0.5576	much
lmaoo	!	0.9983	lmaoo
			
Three	$	0.8631	Three
Spsl	^	0.4431	Spsl
south	^	0.5229	south
teams	N	0.9817	teams
-	,	0.8444	-
puyallup	^	0.5380	puyallup
,	,	0.9918	,
bethel	^	0.8030	bethel
and	&	0.9981	and
beamer	^	0.7752	beamer
-	,	0.8444	-
in	P	0.8576	in
wcd	!	0.9429	wcd
softball	N	0.4332	softball
semifinals	N	0.6734	semifinals
.	,	0.9927	.
			
FG	N	0.3626	FG
To	P	0.9549	To
Establish	V	0.8684	Establish
Trauma	N	0.9602	Trauma
Counselling	N	0.9444	Counselling
Centres	N	0.9604	Centres
In	P	0.8841	In
Jos	^	0.6324	Jos
Following	V	0.7335	Following
Blasts	N	0.6336	Blasts
:	,	0.7421	:
The	D	0.9468	The
federal	A	0.6862	federal
government	N	0.5787	government
has	V	0.9464	has
said	V	0.9555	said
it	O	0.9694	it
will	V	0.9478	will
es	G	0.2416	es
...	~	0.6291	...
http://t.co/RQBlsjFNxb	U	0.9900	http://t.co/RQBlsjFNxb
			
RT	~	0.7475	RT
@foreverVSceleb	@	0.9990	@foreverVSceleb
:	,	0.7421	:
REQUESTED	V	0.9707	REQUESTED
Miley	^	0.8611	Miley
(	,	0.9082	(
RT	~	0.7475	RT
)	,	0.9412	)
VS	V	0.4055	VS
Demi	^	0.8353	Demi
(	,	0.9082	(
Fave	A	0.3185	Fave
)	,	0.9412	)
http://t.co/pnblTwizf4	U	0.9940	http://t.co/pnblTwizf4
			
@WilmsIsBoss	@	0.9990	@WilmsIsBoss
ikr	!	0.9417	ikr
lol	!	0.9995	lol
indy	^	0.8851	indy
had	V	0.9560	had
3	$	0.9007	3
clips	N	0.9535	clips
for	P	0.9910	for
the	D	0.9792	the
rc	N	0.5078	rc
and	&	0.9981	and
like	P	0.7012	like
a	D	0.8948	a
year	N	0.8672	year
long	A	0.8325	long
commentary	N	0.9038	commentary
			
1	$	0.9900	1
tweep	N	0.5000	tweep
unfollowed	V	0.4720	unfollowed
(	,	0.9082	(
goodbye	!	0.9922	goodbye
!	,	0.9924	!
)	,	0.9412	)
me	O	0.9918	me
in	P	0.8576	in
the	D	0.9792	the
past	A	0.8547	past
day	N	0.9236	day
.	,	0.9927	.
Thank	V	0.6798	Thank
you	O	0.9627	you
http://t.co/kzpihkRIMR	U	0.9900	http://t.co/kzpihkRIMR
.	,	0.9927	.
			
Hahaha	!	0.9985	Hahaha
even	R	0.9851	even
the	D	0.9792	the
friends	N	0.8548	friends
u	O	0.9843	u
think	V	0.9624	think
u	O	0.9843	u
have	V	0.9703	have
say	V	0.8550	say
you're	L	0.9569	you're
a	D	0.8948	a
douche	N	0.7000	douche
			
Khloe	^	0.9267	Khloe
Kardashian	^	0.8315	Kardashian
--	,	0.7950	--
Posing	V	0.9954	Posing
to	P	0.9511	to
Prep	N	0.6831	Prep
for	P	0.9910	for
Kim's	Z	0.5614	Kim's
Wedding	N	0.8249	Wedding
:	,	0.7421	:
Khloe	^	0.9267	Khloe
Kardashian	^	0.8315	Kardashian
high-styled	A	0.7739	high-styled
it	O	0.9694	it
outside	R	0.2821	outside
Paris	^	0.9844	Paris
Friday	^	0.8713	Friday
......	,	0.9659	......
http://t.co/3Csjvqt8Sa	U	0.9940	http://t.co/3Csjvqt8Sa
			
Delhi	^	0.9808	Delhi
Dmu	^	0.5237	Dmu
74024	$	0.2208	74024
started	V	0.9730	started
on	P	0.8343	on
23/05/2014	$	0.9464	23/05/2014
Reached	V	0.9507	Reached
its	L	0.9816	its
destination	N	0.9901	destination
DLI	!	0.5274	DLI
and	&	0.9981	and
was	V	0.9773	was
70	$	0.9588	70
Mins	N	0.6060	Mins
Late	A	0.7010	Late
http://t.co/umlpibBxbb	U	0.9900	http://t.co/umlpibBxbb
			
Nicki	^	0.9853	Nicki
Minaj	^	0.7737	Minaj
slick	A	0.9566	slick
went	V	0.9059	went
from	P	0.9750	from
brownskin	A	0.3511	brownskin
to	P	0.9511	to
lightskin	A	0.3563	lightskin
over	P	0.6023	over
the	D	0.9792	the
years	N	0.8823	years
			
Come	V	0.9754	Come
o	!	0.7684	o
...	~	0.6291	...
Is	V	0.9893	Is
it	O	0.9694	it
dat	O	0.4790	dat
God	^	0.9509	God
has	V	0.9464	has
left	V	0.7279	left
us	O	0.9183	us
&	&	0.9901	&
d	!	0.3287	d
church	N	0.8365	church
4	$	0.5761	4
facebook	^	0.8792	facebook
?	,	0.9909	?
hav	V	0.5575	hav
u	O	0.9843	u
noticed	V	0.9436	noticed
how	R	0.9435	how
people	N	0.9913	people
now	R	0.9613	now
bring	V	0.9836	bring
all	D	0.7257	all
dia	!	0.5800	dia
prolems	^	0.1826	prolems
,...	,	0.6789	,...
http://t.co/dXIOhTRHTS	U	0.9900	http://t.co/dXIOhTRHTS
			
RT	~	0.7475	RT
@hxrry_long_legs	@	0.9990	@hxrry_long_legs
:	,	0.7421	:
WTF	!	0.9878	WTF
IS	V	0.9860	IS
#HaylorIsBack	#	0.9424	#HaylorIsBack
I	O	0.9937	I
DONT	V	0.8914	DONT
UNDERSTAND	V	0.8838	UNDERSTAND
THIS	D	0.6352	THIS
CRAP	N	0.5058	CRAP
?!?!	,	0.9427	?!?!
Can	V	0.9773	Can
somebody	N	0.9588	somebody
please	V	0.8246	please
elaborate	V	0.6822	elaborate
..	,	0.9687	..
			
El	^	0.3234	El
Qaeda	^	0.8877	Qaeda
and	&	0.9981	and
Boko	!	0.6044	Boko
Haram	!	0.5789	Haram
must	V	0.9380	must
be	V	0.9569	be
watching	V	0.9830	watching
this	O	0.5028	this
,	,	0.9918	,
should	V	0.9804	should
they	O	0.9737	they
pull	V	0.6215	pull
a	D	0.8948	a
stunt	N	0.7851	stunt
on	P	0.8343	on
us	O	0.9183	us
we	O	0.9885	we
